epoch,train_loss,train_acc,val_loss,val_acc,lr,encoder_frozen
1,1.0282294850744411,0.6676235646530204,0.8227771658982549,0.7144283574638043,0.001,True
2,0.9254161970403618,0.6828507239141288,0.7973844719429811,0.7099350973539691,0.001,True
3,0.912396281303284,0.6860958562156765,0.7639471437368128,0.7199201198202696,0.001,True
4,0.9069475266569389,0.6895906140788817,0.7718539992495189,0.7294058911632552,0.001,True
5,0.8855555280596911,0.690963554667998,0.7831931123510003,0.7144283574638043,0.001,True
6,0.9027559706074987,0.6877184223664503,0.7258730038763985,0.7468796804792811,0.001,True
7,0.8947481122202502,0.6855966050923614,0.7717559286171481,0.728407388916625,0.001,True
8,0.8452346567622202,0.7054418372441338,0.6870304971105523,0.762855716425362,1e-06,False
9,0.7864612435509345,0.7180479281078382,0.651943844595244,0.7768347478781827,1e-06,False
10,0.7562675211957829,0.7257863205192212,0.6321872379039488,0.7783325012481278,1e-06,False
11,0.7085207928559499,0.7420119820269596,0.6055997066820661,0.782326510234648,1e-06,False
12,0.6887264284426104,0.7485022466300549,0.5873446610963179,0.7913130304543186,1e-06,False
13,0.6572926341892479,0.7614827758362457,0.5736424107740205,0.7908137793310035,1e-06,False
14,0.6439125995614572,0.7636045931103345,0.5605169216296562,0.7978032950574139,1e-06,False
15,0.6205847100048008,0.7644782825761358,0.5480354794722405,0.7988017973040439,1e-06,False
