epoch,train_loss,val_loss,train_iou,val_iou
1,0.3006248805098809,0.23850517421960832,0.6477788465813948,0.6990696100088266
2,0.2243609446172531,0.19739110721991612,0.708575295484983,0.7400795505597041
3,0.20278039457133182,0.18804960904213097,0.7328866308698287,0.7517603727487417
4,0.18659721641586377,0.17243236681589713,0.753713698226672,0.764372653227586
5,0.17123005725443363,0.17730150727125316,0.7679268368161641,0.7628783226013184
6,0.16010593519761013,0.14874295191122935,0.7833261496745623,0.7972375365403982
7,0.12937368966925603,0.14028358241686453,0.8160282277143919,0.8043928045492906
8,0.11538513083584033,0.13401870555602588,0.8297922865702556,0.8113029314921453
9,0.10555388948951776,0.15421651303768158,0.8403114486199159,0.791090833223783
10,0.11217610152581563,0.14607057049870492,0.8321636475049532,0.8017837487734281
11,0.09085576658925185,0.1498851829996476,0.8558768364099356,0.7940524422205412
12,0.08750113373479018,0.15612543070545562,0.8599448543328505,0.7959042044786306
13,0.09232486338856129,0.14201610397834044,0.8546048863576009,0.8042051021869366
14,0.08002757189365534,0.13036830832178775,0.8700894474983215,0.8133483079763559
15,0.07082902929530693,0.15213693603873252,0.8816018698307184,0.8003535784207858
